text,true_emotion,predicted_emotion
"You're so thirsty for the chance to disagree w/ the left, that you don't even realize when something is an affront to your bigoted platform.",anger,anger
@RealJamesWoods @KennyCoble saddest part of this whole mess is that all of this #anger is #misdirected they should march 2 the #WhiteHouse,anger,anger
"@marcavis @AntisocialJW2 I've always been fiery, but never radical.",anger,anger
Sting is just too damn earnest for early morning listening. #sting,anger,anger
I think @Sam_Canaday &amp; @KYLEJDOWSON must actually have to be working like me &amp; @dowson_brady because I havent got any snap chat videos today,anger,sadness
For the first time in my madden career I just set up a farm account. Should make MOTM much easier,anger,joy
@pbhushan1 @IndianExpress so in your opinion is this the worst delhi govt? #acrid  #hypocrisy,anger,anger
"Note to self ~ Stop laughing at things that offend you, it's ok to get mad at people \n#NoteToSelf #offended #mad #upset",anger,anger
Having a baby born too soon is #lifechanging 6 years on and it feels like only yesterday #sad #happy #angry #emotionalrollercoaster,anger,sadness
"Is it me, or is Ding wearing the look of a man who's just found his arch enemy in bed with his missus? #angryman #scowl",anger,anger
@TrueAggieFan oh so that's where Brian was! Where was my invite? ,anger,anger
@isthataspider @dhodgs i will fight this guy! Don't insult the lions like that! But seriously they kinda are.Wasted some of the best players,anger,anger
@ArcticFantasy I would have almost took offense to this if I actually snapped you,anger,joy
Just seeing Alex revells face gets me angry,anger,anger
"Just watched Django Unchained, Other people may frown, but I titter in delight! 2/5",anger,joy
"@TrevorHMoore @paget_old In Scotland, the right-wingers are the most rabid anti-nationalists. Socialists are mostly in favour.",anger,anger
@__NETFLIXNCHILL I fuck with madden way harder,anger,joy
"Taking umbrage because Jimmy Carr claimed that Bilbo Baggins went to Mordor on 8 out of 10 cats does Countdown. Know your Baggins', mate.",anger,anger
@RevTrevK @Wolfman93011 @Daraidernation @EROCKhd Take 2k out of it the numbers on madden are low and have dropped and people are unhappy,anger,anger
"Why to have vanity sizes?Now sizes S,XS(evenXXS sometimes) are too big, WTF?! Dear corporate jerks, Lithuania didn't need this. #rant ",anger,anger
Rooney shocking attempted cross,fear,anger
Why upping rooms makes a few apprehend leaving out charcoal ownership: UnZU,fear,fear
Trying to book holiday flights on @britishairways website is becoming a ,fear,anger
@All4 is the android app it designed to be buggy and work sporadically on a fire TV box? #shocking,fear,anger
"At school, my classmate is with me at music class and he sang Hallelujah like, god, with my friend we were breathless.",fear,joy
It really is amazing the money they give to some of these QB's #nfl #texans #brock #terrible,fear,anger
I want to be a woman who #overcomes obstacles by tackling them in #faith instead of tiptoeing around them in #fear. Renee Swope,fear,fear
An adviser to the #European #Union’s top #court said #Hamas and the #Tamil #Tigers should be taken off the EU’s #terror list.#lka,fear,joy
"@chutneysupercat hi lovely brownie, MM is calling me tuppytupperware.. its awful",fear,sadness
"@ccrago It was dreadful, even after he met the Catfish he still thought it was her!",fear,sadness
"@madhav_pastey moral of the story, never check mails in the night. PS. Most notices have nothing much to worry about. @ashwinikn",fear,fear
There goes the butterflies in my stomach. #nervous #anxietyproblems,fear,fear
@CesarSampao @thisisbolton don't get me started on town centre. Used to go every week.... not been for 18 months ,fear,sadness
@1johndes ball watching &amp; Rojo'd header was equally dreadful!!,fear,anger
"Really.....#Jumanji 2....w/ The Rock, Jack Black, and Kevin Hart...are you kidding me! WTF! #ThisIsATerribleIdea ",fear,anger
"@stephenfhayes Mustard gas = hostile work environment, not #terrorism; call #OSHA not #military",fear,anger
I don't want speak front to him   #nopanicattack,fear,fear
#Awareness seek #shelter .#Letgo Old #habit of chasing #desires resultin in #anger #fear #worry .#Choose #Satisfaction within #Peace #Relax,fear,anger
This is #horrible: Lewis Dunk has begun networking #a Neo-Geo with a his holiday home in Mexico.,fear,anger
"He called me fat, so I pushed him into the lockers then he threaten to sue me' 😂",fear,joy
@HunterDean_ [he gives a gleeful squeak and wraps around you] All mine!,joy,joy
@hesham786 that's the spirit ,joy,joy
Somebody who has braved the storm is brewing. ,joy,anger
